skrunchy,detail
R_star,recruits
W_star,wild_spawners
S_star,total_spawners
b,brood_year
y,return_year
i,population
B_star,brood_stock_removals
omega,age_proportion
a,age
E_star,escapement
p,proportion_wild_spawners
tau_L,terminal_mortality_below_terrace
tau_U,terminal_mortality_above_terrace
tau_M,terminal_mortality_marine
tau_W,terminal_mortality_wild
A_phi,preterminal_post_fishery_abundance
A_P,ocean_pre_fishery_abundance
phi_N,preterminal_mortality_nominal
phi_Q,preterminal_mortality_adult_equivalents
H_star,hatchery_origin_escapement
tau_dot_M,marine_terminal_mortality_exploitation_rate
phi_dot_M,preterminal_mortality_harvest_rate_net_fisheries_mature_fish
r,maturation_rate
phi_dot_E,preterminal_mortality_exploitation_rate
Q,adult_equivalency_rate
N,total_run
